id,display_name,concept_class,source,latest_source_version
SS54,Pitta-Kapha constitution pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS53,Vata-Pitta constitution pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS52,Kapha constitution pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS51,Pitta constitution pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS50,Vata constitution pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS4Z,"Power derangement and chronic accumulation patterns (TM2), unspecified",Diagnosis,ICD-11-MMS,2025-01
SS4Y,Other specified power derangement and chronic accumulation patterns (TM2),Diagnosis,ICD-11-MMS,2025-01
SS3Z,"Power derangement patterns (TM2), unspecified",Diagnosis,ICD-11-MMS,2025-01
SS3Y,Other specified power derangement patterns (TM2),Diagnosis,ICD-11-MMS,2025-01
SS3J,Weakness of vital spirit pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS3H,Weakness of natural spirit pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS3G,Weakness of psychic spirit pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS3F,Disruption of innate heat pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS3E,Innate heat weakness pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS3D,Debility of organs pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS3C,Psychic faculties derangement pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS3B,Vital faculty derangement pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS3A,Reproductive faculties derangement pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS39,Growth faculty derangement pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS38,Expulsive faculty derangement pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS37,Digestive faculty derangement pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS36,Retentive faculty derangement pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS35,Absorptive faculty derangement pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS34,Assimilation faculty derangement pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS33,Adhesive faculty derangement pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS32,Collecting faculty derangement pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS31,Nutritive faculty derangement pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS30,Physical faculties derangement pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS2Z,"Chronic accumulation patterns (TM2), unspecified",Diagnosis,ICD-11-MMS,2025-01
SS2Y,Other specified chronic accumulation patterns (TM2),Diagnosis,ICD-11-MMS,2025-01
SS2H,Pattern of humour accumulated with excess heat (TM2),Diagnosis,ICD-11-MMS,2025-01
SS2G,Pattern of humour accumulated with excess cold (TM2),Diagnosis,ICD-11-MMS,2025-01
SS2F,Pattern of humour accumulated with air (TM2),Diagnosis,ICD-11-MMS,2025-01
SS2E,Suppression of flatus pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS2D,Suppression of thirst pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS2C,Suppression of hunger pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS2B,Supression of exertional hyperpnea pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS2A,Suppression of stool pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS29,Suppression of vomiting pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS28,Suppression of tears pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS27,Suppression of sneeze pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS26,Suppression of sleep pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS25,Suppression of micturition pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS24,Suppression of cough pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS23,Suppression of semen pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS22,Suppression of hunger and thirst together pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS21,Suppression of yawning pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS20,Suppression of breath pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS1Z,"Digestive fire based patterns (TM2), unspecified",Diagnosis,ICD-11-MMS,2025-01
SS1Y,Other specified digestive fire based patterns (TM2),Diagnosis,ICD-11-MMS,2025-01
SS19,Weak digestive fire pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS18,Toxic digestive fire pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS17,Strong digestive fire pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS16,Natural digestive fire pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS15,"State of incomplete digestion, transformation or metabolism pattern (TM2)",Diagnosis,ICD-11-MMS,2025-01
SS14,Highly elevated digestive power pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS13,Subdued digestive power pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS12,Elevated digestive power pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS11,Irregular digestive power pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS10,Derangement of digestive power pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR8Z,"Excretory products derangement patterns (TM2), unspecified",Diagnosis,ICD-11-MMS,2025-01
SR8Y,Other specified excretory products derangement patterns (TM2),Diagnosis,ICD-11-MMS,2025-01
SR8N,Excess of sweat pattern due to decreased vitality (TM2),Diagnosis,ICD-11-MMS,2025-01
SR8M,Moderate quantity of sputum during convalescence pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR8L,Lack of sputum pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR8K,Excess of sputum pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
