source_file,pipeline_file,quality_status,classification,target_sql_table,mapping_status,load_eligible,loaded_rows,decision_reason
extracted_tables/027_Health_Bulletin_2023/table_0016.csv,quarantined_tables/027_Health_Bulletin_2023/table_0016.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0017.csv,quarantined_tables/027_Health_Bulletin_2023/table_0017.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0018.csv,quarantined_tables/027_Health_Bulletin_2023/table_0018.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0019.csv,quarantined_tables/027_Health_Bulletin_2023/table_0019.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0020.csv,quarantined_tables/027_Health_Bulletin_2023/table_0020.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0021.csv,quarantined_tables/027_Health_Bulletin_2023/table_0021.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0022.csv,quarantined_tables/027_Health_Bulletin_2023/table_0022.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0023.csv,quarantined_tables/027_Health_Bulletin_2023/table_0023.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0024.csv,quarantined_tables/027_Health_Bulletin_2023/table_0024.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0025.csv,quarantined_tables/027_Health_Bulletin_2023/table_0025.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0026.csv,quarantined_tables/027_Health_Bulletin_2023/table_0026.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0027.csv,quarantined_tables/027_Health_Bulletin_2023/table_0027.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0028.csv,quarantined_tables/027_Health_Bulletin_2023/table_0028.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0029.csv,quarantined_tables/027_Health_Bulletin_2023/table_0029.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0030.csv,quarantined_tables/027_Health_Bulletin_2023/table_0030.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0031.csv,quarantined_tables/027_Health_Bulletin_2023/table_0031.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0032.csv,quarantined_tables/027_Health_Bulletin_2023/table_0032.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0033.csv,quarantined_tables/027_Health_Bulletin_2023/table_0033.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0034.csv,quarantined_tables/027_Health_Bulletin_2023/table_0034.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0035.csv,quarantined_tables/027_Health_Bulletin_2023/table_0035.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0036.csv,quarantined_tables/027_Health_Bulletin_2023/table_0036.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0037.csv,quarantined_tables/027_Health_Bulletin_2023/table_0037.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0038.csv,quarantined_tables/027_Health_Bulletin_2023/table_0038.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0039.csv,quarantined_tables/027_Health_Bulletin_2023/table_0039.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0040.csv,quarantined_tables/027_Health_Bulletin_2023/table_0040.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0041.csv,quarantined_tables/027_Health_Bulletin_2023/table_0041.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0042.csv,quarantined_tables/027_Health_Bulletin_2023/table_0042.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0043.csv,quarantined_tables/027_Health_Bulletin_2023/table_0043.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0044.csv,quarantined_tables/027_Health_Bulletin_2023/table_0044.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0045.csv,quarantined_tables/027_Health_Bulletin_2023/table_0045.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0046.csv,quarantined_tables/027_Health_Bulletin_2023/table_0046.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0047.csv,quarantined_tables/027_Health_Bulletin_2023/table_0047.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
