source_file,cleaned_file,status,rows_before,rows_after,columns_before,columns_after,duplicate_rows_removed,error
extracted_tables/027_Health_Bulletin_2023/table_0001.csv,cleaned_tables/027_Health_Bulletin_2023/table_0001.csv,ok,2,1,3,1,1,
extracted_tables/027_Health_Bulletin_2023/table_0002.csv,cleaned_tables/027_Health_Bulletin_2023/table_0002.csv,ok,16,16,4,4,0,
extracted_tables/027_Health_Bulletin_2023/table_0003.csv,cleaned_tables/027_Health_Bulletin_2023/table_0003.csv,ok,16,16,5,4,0,
extracted_tables/027_Health_Bulletin_2023/table_0004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0004.csv,ok,17,17,13,13,0,
extracted_tables/027_Health_Bulletin_2023/table_0005.csv,cleaned_tables/027_Health_Bulletin_2023/table_0005.csv,ok,17,17,5,4,0,
extracted_tables/027_Health_Bulletin_2023/table_0006.csv,cleaned_tables/027_Health_Bulletin_2023/table_0006.csv,ok,27,26,5,4,1,
extracted_tables/027_Health_Bulletin_2023/table_0007.csv,cleaned_tables/027_Health_Bulletin_2023/table_0007.csv,ok,17,17,5,4,0,
extracted_tables/027_Health_Bulletin_2023/table_0008.csv,cleaned_tables/027_Health_Bulletin_2023/table_0008.csv,ok,10,0,2,0,10,
extracted_tables/027_Health_Bulletin_2023/table_0009.csv,cleaned_tables/027_Health_Bulletin_2023/table_0009.csv,ok,9,9,5,4,0,
extracted_tables/027_Health_Bulletin_2023/table_0010.csv,cleaned_tables/027_Health_Bulletin_2023/table_0010.csv,ok,6,6,2,2,0,
extracted_tables/027_Health_Bulletin_2023/table_0011.csv,cleaned_tables/027_Health_Bulletin_2023/table_0011.csv,ok,29,29,5,4,0,
extracted_tables/027_Health_Bulletin_2023/table_0012.csv,cleaned_tables/027_Health_Bulletin_2023/table_0012.csv,ok,10,10,5,4,0,
extracted_tables/027_Health_Bulletin_2023/table_0013.csv,cleaned_tables/027_Health_Bulletin_2023/table_0013.csv,ok,10,10,5,4,0,
extracted_tables/027_Health_Bulletin_2023/table_0014.csv,cleaned_tables/027_Health_Bulletin_2023/table_0014.csv,ok,12,11,5,4,1,
extracted_tables/027_Health_Bulletin_2023/table_0015.csv,cleaned_tables/027_Health_Bulletin_2023/table_0015.csv,ok,8,8,5,4,0,
extracted_tables/027_Health_Bulletin_2023/table_0016.csv,cleaned_tables/027_Health_Bulletin_2023/table_0016.csv,ok,5,5,5,4,0,
extracted_tables/027_Health_Bulletin_2023/table_0017.csv,cleaned_tables/027_Health_Bulletin_2023/table_0017.csv,ok,12,11,3,3,1,
extracted_tables/027_Health_Bulletin_2023/table_0018.csv,cleaned_tables/027_Health_Bulletin_2023/table_0018.csv,ok,2,2,2,2,0,
extracted_tables/027_Health_Bulletin_2023/table_0019.csv,cleaned_tables/027_Health_Bulletin_2023/table_0019.csv,ok,3,0,5,0,3,
extracted_tables/027_Health_Bulletin_2023/table_0020.csv,cleaned_tables/027_Health_Bulletin_2023/table_0020.csv,ok,4,4,2,2,0,
extracted_tables/027_Health_Bulletin_2023/table_0021.csv,cleaned_tables/027_Health_Bulletin_2023/table_0021.csv,ok,8,8,4,4,0,
extracted_tables/027_Health_Bulletin_2023/table_0022.csv,cleaned_tables/027_Health_Bulletin_2023/table_0022.csv,ok,11,11,4,4,0,
extracted_tables/027_Health_Bulletin_2023/table_0023.csv,cleaned_tables/027_Health_Bulletin_2023/table_0023.csv,ok,12,12,2,2,0,
extracted_tables/027_Health_Bulletin_2023/table_0024.csv,cleaned_tables/027_Health_Bulletin_2023/table_0024.csv,ok,2,0,2,0,2,
extracted_tables/027_Health_Bulletin_2023/table_0025.csv,cleaned_tables/027_Health_Bulletin_2023/table_0025.csv,ok,2,0,2,0,2,
extracted_tables/027_Health_Bulletin_2023/table_0026.csv,cleaned_tables/027_Health_Bulletin_2023/table_0026.csv,ok,9,8,17,16,1,
extracted_tables/027_Health_Bulletin_2023/table_0027.csv,cleaned_tables/027_Health_Bulletin_2023/table_0027.csv,ok,3,3,2,2,0,
extracted_tables/027_Health_Bulletin_2023/table_0028.csv,cleaned_tables/027_Health_Bulletin_2023/table_0028.csv,ok,2,0,2,0,2,
extracted_tables/027_Health_Bulletin_2023/table_0029.csv,cleaned_tables/027_Health_Bulletin_2023/table_0029.csv,ok,7,7,2,2,0,
extracted_tables/027_Health_Bulletin_2023/table_0030.csv,cleaned_tables/027_Health_Bulletin_2023/table_0030.csv,ok,22,3,5,3,19,
extracted_tables/027_Health_Bulletin_2023/table_0031.csv,cleaned_tables/027_Health_Bulletin_2023/table_0031.csv,ok,2,0,2,0,2,
extracted_tables/027_Health_Bulletin_2023/table_0032.csv,cleaned_tables/027_Health_Bulletin_2023/table_0032.csv,ok,23,11,5,4,12,
extracted_tables/027_Health_Bulletin_2023/table_0033.csv,cleaned_tables/027_Health_Bulletin_2023/table_0033.csv,ok,2,2,2,2,0,
extracted_tables/027_Health_Bulletin_2023/table_0034.csv,cleaned_tables/027_Health_Bulletin_2023/table_0034.csv,ok,6,0,6,0,6,
extracted_tables/027_Health_Bulletin_2023/table_0035.csv,cleaned_tables/027_Health_Bulletin_2023/table_0035.csv,ok,5,0,6,0,5,
