file,category,rows,cols
extracted_tables/027_Health_Bulletin_2023/table_0027.csv,population,3,2
extracted_tables/027_Health_Bulletin_2023/table_0126.csv,health_stat,5,3
extracted_tables/027_Health_Bulletin_2023/table_0043.csv,other,4,8
extracted_tables/027_Health_Bulletin_2023/table_0045.csv,other,3,3
extracted_tables/027_Health_Bulletin_2023/table_0044.csv,other,3,3
extracted_tables/027_Health_Bulletin_2023/table_0111.csv,health_stat,7,4
extracted_tables/027_Health_Bulletin_2023/table_0090.csv,other,10,4
extracted_tables/027_Health_Bulletin_2023/table_0123.csv,health_stat,16,11
extracted_tables/027_Health_Bulletin_2023/table_0172.csv,health_stat,9,4
extracted_tables/027_Health_Bulletin_2023/table_0137.csv,health_stat,7,6
extracted_tables/027_Health_Bulletin_2023/table_0152.csv,other,14,7
extracted_tables/027_Health_Bulletin_2023/table_0122.csv,health_stat,15,11
extracted_tables/027_Health_Bulletin_2023/table_0094.csv,other,15,6
extracted_tables/027_Health_Bulletin_2023/table_0052.csv,other,7,2
extracted_tables/027_Health_Bulletin_2023/table_0140.csv,other,2,5
extracted_tables/027_Health_Bulletin_2023/table_0032.csv,other,23,5
extracted_tables/027_Health_Bulletin_2023/table_0066.csv,other,14,76
extracted_tables/027_Health_Bulletin_2023/table_0098.csv,population,11,4
extracted_tables/027_Health_Bulletin_2023/table_0103.csv,other,26,6
extracted_tables/027_Health_Bulletin_2023/table_0074.csv,other,3,2
extracted_tables/027_Health_Bulletin_2023/table_0031.csv,other,2,2
extracted_tables/027_Health_Bulletin_2023/table_0147.csv,other,9,4
extracted_tables/027_Health_Bulletin_2023/table_0157.csv,other,8,4
extracted_tables/027_Health_Bulletin_2023/table_0163.csv,other,5,9
extracted_tables/027_Health_Bulletin_2023/table_0069.csv,population,6,3
extracted_tables/027_Health_Bulletin_2023/table_0078.csv,other,15,5
extracted_tables/027_Health_Bulletin_2023/table_0143.csv,other,17,20
extracted_tables/027_Health_Bulletin_2023/table_0174.csv,population,7,3
extracted_tables/027_Health_Bulletin_2023/table_0022.csv,other,11,4
extracted_tables/027_Health_Bulletin_2023/table_0015.csv,human_resource,8,5
extracted_tables/027_Health_Bulletin_2023/table_0046.csv,other,3,3
extracted_tables/027_Health_Bulletin_2023/table_0139.csv,other,17,7
extracted_tables/027_Health_Bulletin_2023/table_0012.csv,other,10,5
extracted_tables/027_Health_Bulletin_2023/table_0061.csv,other,7,5
extracted_tables/027_Health_Bulletin_2023/table_0068.csv,population,12,3
extracted_tables/027_Health_Bulletin_2023/table_0057.csv,health_stat,15,59
extracted_tables/027_Health_Bulletin_2023/table_0121.csv,health_stat,15,11
extracted_tables/027_Health_Bulletin_2023/table_0019.csv,other,3,5
extracted_tables/027_Health_Bulletin_2023/table_0116.csv,health_stat,7,11
extracted_tables/027_Health_Bulletin_2023/table_0149.csv,other,9,4
extracted_tables/027_Health_Bulletin_2023/table_0124.csv,health_stat,10,11
extracted_tables/027_Health_Bulletin_2023/table_0041.csv,other,7,8
extracted_tables/027_Health_Bulletin_2023/table_0179.csv,population,13,2
extracted_tables/027_Health_Bulletin_2023/table_0128.csv,population,29,3
extracted_tables/027_Health_Bulletin_2023/table_0076.csv,health_stat,16,18
extracted_tables/027_Health_Bulletin_2023/table_0162.csv,other,15,16
extracted_tables/027_Health_Bulletin_2023/table_0047.csv,other,5,8
extracted_tables/027_Health_Bulletin_2023/table_0004.csv,other,17,13
extracted_tables/027_Health_Bulletin_2023/table_0088.csv,population,7,4
extracted_tables/027_Health_Bulletin_2023/table_0062.csv,health_stat,6,5
extracted_tables/027_Health_Bulletin_2023/table_0161.csv,other,7,27
extracted_tables/027_Health_Bulletin_2023/table_0030.csv,other,22,5
extracted_tables/027_Health_Bulletin_2023/table_0181.csv,health_stat,9,5
extracted_tables/027_Health_Bulletin_2023/table_0050.csv,other,6,2
extracted_tables/027_Health_Bulletin_2023/table_0037.csv,other,6,6
extracted_tables/027_Health_Bulletin_2023/table_0153.csv,other,14,17
extracted_tables/027_Health_Bulletin_2023/table_0107.csv,other,6,16
extracted_tables/027_Health_Bulletin_2023/table_0054.csv,other,8,9
extracted_tables/027_Health_Bulletin_2023/table_0164.csv,other,4,5
extracted_tables/027_Health_Bulletin_2023/table_0026.csv,health_stat,9,17
extracted_tables/027_Health_Bulletin_2023/table_0155.csv,other,5,4
extracted_tables/027_Health_Bulletin_2023/table_0086.csv,other,6,6
extracted_tables/027_Health_Bulletin_2023/table_0008.csv,other,10,2
extracted_tables/027_Health_Bulletin_2023/table_0035.csv,other,5,6
extracted_tables/027_Health_Bulletin_2023/table_0058.csv,other,11,4
extracted_tables/027_Health_Bulletin_2023/table_0182.csv,health_stat,14,5
extracted_tables/027_Health_Bulletin_2023/table_0169.csv,health_stat,17,8
extracted_tables/027_Health_Bulletin_2023/table_0113.csv,health_stat,8,11
extracted_tables/027_Health_Bulletin_2023/table_0048.csv,other,5,5
extracted_tables/027_Health_Bulletin_2023/table_0105.csv,other,14,17
extracted_tables/027_Health_Bulletin_2023/table_0063.csv,other,7,3
extracted_tables/027_Health_Bulletin_2023/table_0021.csv,population,8,4
extracted_tables/027_Health_Bulletin_2023/table_0100.csv,other,10,5
extracted_tables/027_Health_Bulletin_2023/table_0009.csv,other,9,5
extracted_tables/027_Health_Bulletin_2023/table_0148.csv,other,34,4
extracted_tables/027_Health_Bulletin_2023/table_0092.csv,other,6,4
extracted_tables/027_Health_Bulletin_2023/table_0117.csv,health_stat,14,11
extracted_tables/027_Health_Bulletin_2023/table_0177.csv,other,9,13
extracted_tables/027_Health_Bulletin_2023/table_0007.csv,population,17,5
extracted_tables/027_Health_Bulletin_2023/table_0176.csv,other,10,6
extracted_tables/027_Health_Bulletin_2023/table_0145.csv,human_resource,16,7
extracted_tables/027_Health_Bulletin_2023/table_0087.csv,population,13,11
extracted_tables/027_Health_Bulletin_2023/table_0159.csv,other,14,4
extracted_tables/027_Health_Bulletin_2023/table_0170.csv,health_stat,21,6
extracted_tables/027_Health_Bulletin_2023/table_0120.csv,health_stat,15,11
extracted_tables/027_Health_Bulletin_2023/table_0093.csv,other,5,2
extracted_tables/027_Health_Bulletin_2023/table_0042.csv,other,11,17
extracted_tables/027_Health_Bulletin_2023/table_0112.csv,health_stat,20,4
extracted_tables/027_Health_Bulletin_2023/table_0097.csv,other,15,3
extracted_tables/027_Health_Bulletin_2023/table_0141.csv,other,14,48
extracted_tables/027_Health_Bulletin_2023/table_0138.csv,health_stat,7,6
extracted_tables/027_Health_Bulletin_2023/table_0082.csv,population,3,4
extracted_tables/027_Health_Bulletin_2023/table_0091.csv,health_stat,6,4
extracted_tables/027_Health_Bulletin_2023/table_0038.csv,other,2,2
extracted_tables/027_Health_Bulletin_2023/table_0017.csv,human_resource,12,3
extracted_tables/027_Health_Bulletin_2023/table_0175.csv,population,8,4
extracted_tables/027_Health_Bulletin_2023/table_0010.csv,other,6,2
extracted_tables/027_Health_Bulletin_2023/table_0055.csv,other,3,2
extracted_tables/027_Health_Bulletin_2023/table_0003.csv,population,16,5
extracted_tables/027_Health_Bulletin_2023/table_0167.csv,other,14,54
extracted_tables/027_Health_Bulletin_2023/table_0033.csv,other,2,2
extracted_tables/027_Health_Bulletin_2023/table_0142.csv,health_stat,12,3
extracted_tables/027_Health_Bulletin_2023/table_0084.csv,other,14,5
extracted_tables/027_Health_Bulletin_2023/table_0119.csv,health_stat,15,11
extracted_tables/027_Health_Bulletin_2023/table_0025.csv,other,2,2
extracted_tables/027_Health_Bulletin_2023/table_0150.csv,other,7,4
extracted_tables/027_Health_Bulletin_2023/table_0039.csv,other,2,2
extracted_tables/027_Health_Bulletin_2023/table_0151.csv,human_resource,15,6
extracted_tables/027_Health_Bulletin_2023/table_0133.csv,surgery,6,2
extracted_tables/027_Health_Bulletin_2023/table_0136.csv,health_stat,7,6
extracted_tables/027_Health_Bulletin_2023/table_0178.csv,health_stat,9,2
extracted_tables/027_Health_Bulletin_2023/table_0096.csv,other,4,2
extracted_tables/027_Health_Bulletin_2023/table_0106.csv,other,14,5
extracted_tables/027_Health_Bulletin_2023/table_0028.csv,other,2,2
extracted_tables/027_Health_Bulletin_2023/table_0118.csv,health_stat,12,11
extracted_tables/027_Health_Bulletin_2023/table_0073.csv,health_stat,4,2
extracted_tables/027_Health_Bulletin_2023/table_0081.csv,population,10,3
extracted_tables/027_Health_Bulletin_2023/table_0095.csv,other,3,3
extracted_tables/027_Health_Bulletin_2023/table_0024.csv,other,2,2
extracted_tables/027_Health_Bulletin_2023/table_0146.csv,other,8,4
extracted_tables/027_Health_Bulletin_2023/table_0166.csv,other,15,6
extracted_tables/027_Health_Bulletin_2023/table_0002.csv,other,16,4
extracted_tables/027_Health_Bulletin_2023/table_0005.csv,population,17,5
extracted_tables/027_Health_Bulletin_2023/table_0110.csv,health_stat,22,4
extracted_tables/027_Health_Bulletin_2023/table_0075.csv,other,12,4
extracted_tables/027_Health_Bulletin_2023/table_0185.csv,population,13,5
extracted_tables/027_Health_Bulletin_2023/table_0173.csv,health_stat,12,7
extracted_tables/027_Health_Bulletin_2023/table_0053.csv,other,3,5
extracted_tables/027_Health_Bulletin_2023/table_0144.csv,human_resource,31,7
extracted_tables/027_Health_Bulletin_2023/table_0060.csv,other,14,34
extracted_tables/027_Health_Bulletin_2023/table_0158.csv,other,6,5
extracted_tables/027_Health_Bulletin_2023/table_0085.csv,population,11,6
